Date - Order Date,Order - Number,Item - SKU,Item - Qty,Item - Name,Amount - Order Total,Amount - Order Tax,Carrier - Service Requested,Date - Ship By Date,
03-07-2026 20:23,112-9302318-8382662,STB - 271025 - B082BJX1WW - UKUS - 5,2,LaveraOrganic Repair & Deep Care Conditioner New 6.76 fl oz,62.5,4.68,FreeEconomy Econ US Dom,3/13/2026 5:00:00 PM,57.82
03-07-2026 20:37,114-2577762-2698666,STB - 131125 - B003UU59QW - UKUS - 3,1,Marmite Yeast Extract Paste 500 g (Pack of 3),63.58,1.25,FreeEconomy Econ US Dom,03-11-2026 17:00,62.33
03-07-2026 20:19,111-3618641-8449862,STB - 131125 - B077PCJCVZ - UKUS - 3,1,Geeta's Mango Chutney - 320g,20.54,0,FreeEconomy Econ US Dom,03-11-2026 17:00,20.54
03-07-2026 20:17,112-0190698-6980272,STB - 070126 - B00B9C4K4U - UKUS - X,1,Metrica 35070 Jet Gauge,53.77,4.12,FreeEconomy Econ US Dom,3/20/2026 5:00:00 PM,49.65
03-07-2026 19:39,112-6597777-4056245,STB - 131125 - B09HFM1S4N - UKUS - 3,1,Weetabix Family size 18.7-oz Per 2-Box Bundle Imported from UK,29.6,0,FreeEconomy Econ US Dom,03-11-2026 17:00,29.6
03-07-2026 21:50,114-3526620-7749009,STB - 040126 - B0001P0FFY - UKUS - X,1,Monument 2030b Olive Removing Tool 15mm,91.13,5.96,FreeEconomy Econ US Dom,3/20/2026 5:00:00 PM,85.17
03-07-2026 21:41,114-0668197-2293022,STB - 131125 - B017BPARFO - UKUS - 3,2,"Robinsons Fruit and Barley Real Fruit Squash, Low Calorie. Apple and Pear, 1 Litre, 20 Servings",42.86,2.24,FreeEconomy Econ US Dom,03-11-2026 17:00,40.62
03-07-2026 21:15,112-0323223-6854664,STB - 091225 - B01D6DXN6A - UKUS - X,1,Toffee Crisp Multipack - 4 x 38g,20.64,1.57,FreeEconomy Econ US Dom,03-11-2026 17:00,19.07
03-07-2026 23:02,113-4004866-8286658,STB - 271025 - B00O9YOVS0 - UKUS - 5,1,Foufour Natural Marseille Soap Natural Beige Palm Oil Traditional French Recipe Cube 300g/10.58oz,23.45,1.79,FreeEconomy Econ US Dom,3/13/2026 5:00:00 PM,21.66
03-07-2026 22:23,112-1610916-4541802,STB - 271025 - B01G3IBYUC - UKUS - 3,1,Butterkist Toffee Popcorn - 200g,20.77,0,FreeEconomy Econ US Dom,03-11-2026 17:00,20.77
03-08-2026 00:41,200014528552518,WTB - 000000 - 08445290439642 - UKUS - 1,1,Nescafe Dolce Gusto Americano Coffee Pods 16 Pack 136g Imported from Britain,30.27,0.52,Value,03-09-2026 20:00,29.75
03-08-2026 00:57,113-9616707-7655438,STB - 131125 - B00BYRGB38 - UKUS - 3,1,Farley's Rusks Original Biscuits 300g - Made from the finest baby grade ingredients. A great way to gradually introduce your baby to solid foods. Packed with 7 key vitamins and minerals,62.33,0,Standard Std US D2D Intl,03-11-2026 17:00,62.33
03-08-2026 00:57,113-9616707-7655438,STB - 271025 - B000VZXO0M - UKUS - 3,1,"Heinz Farley Rusks, Biscuits For Baby's & Toddlers, 5.3-Ounce Boxes (Pack of 6)",62.33,0,Standard Std US D2D Intl,03-11-2026 17:00,62.33
